OBJECTID,SurveyPurp,Protocol,Gear,TotalEffor,EffortMetr,WaterID,WaterName,SampleDate,Location,Elevation,UTMZone,UTMX,UTMY,Basin,StationLen,AvgWidth,StationCod,SiteType,SurveyID,SpeciesCod,Status,NewStatus,sameStatus,Catch,Source,mySurveyID,NEAR_FID,NEAR_DIST,SNAPUTM_X,SNAPUTM_Y
1,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #2,12-Jul-05,BLW Diversion Dam In Clear Spring Ranch Park,5455.000000000000000,13,527039.000000000000000,4277470.000000000000000,Arkansas,80,22.75,AR0319,,2003.000000000000000,FHC,E1,E1,E1,693,Non-USGS,527039_12-Jul-2005,11796,131.034687350543663,527087,4277592
2,---,PRESENCE/ABSENCE,BPEF,1,PASS,32778,FOUNTAIN CREEK #2,12-Jul-05,BLW Diversion Dam In Clear Spring Ranch Park,5455.000000000000000,13,527039.000000000000000,4277470.000000000000000,Arkansas,80,22.75,AR0319,,2003.000000000000000,LND,E1,E1,E1,62,Non-USGS,527039_12-Jul-2005,11796,131.034687350543663,527087,4277592
3,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #2,12-Jul-05,BLW Diversion Dam In Clear Spring Ranch Park,5455.000000000000000,13,527039.000000000000000,4277470.000000000000000,Arkansas,80,22.75,AR0319,,2003.000000000000000,LMB,E1,E1,E1,29,Non-USGS,527039_12-Jul-2005,11796,131.034687350543663,527087,4277592
4,---,PRESENCE/ABSENCE,BPEF,1,PASS,32778,FOUNTAIN CREEK #2,12-Jul-05,BLW Diversion Dam In Clear Spring Ranch Park,5455.000000000000000,13,527039.000000000000000,4277470.000000000000000,Arkansas,80,22.75,AR0319,,2003.000000000000000,LGS,E1,E1,E1,29,Non-USGS,527039_12-Jul-2005,11796,131.034687350543663,527087,4277592
5,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #2,12-Jul-05,BLW Diversion Dam In Clear Spring Ranch Park,5455.000000000000000,13,527039.000000000000000,4277470.000000000000000,Arkansas,80,22.75,AR0319,,2003.000000000000000,SAH,E1,E1,E1,25,Non-USGS,527039_12-Jul-2005,11796,131.034687350543663,527087,4277592
6,---,PRESENCE/ABSENCE,BPEF,1,PASS,32778,FOUNTAIN CREEK #2,12-Jul-05,BLW Diversion Dam In Clear Spring Ranch Park,5455.000000000000000,13,527039.000000000000000,4277470.000000000000000,Arkansas,80,22.75,AR0319,,2003.000000000000000,FMW,E1,E1,E1,23,Non-USGS,527039_12-Jul-2005,11796,131.034687350543663,527087,4277592
7,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #2,12-Jul-05,BLW Diversion Dam In Clear Spring Ranch Park,5455.000000000000000,13,527039.000000000000000,4277470.000000000000000,Arkansas,80,22.75,AR0319,,2003.000000000000000,RDS,E1,E1,E1,17,Non-USGS,527039_12-Jul-2005,11796,131.034687350543663,527087,4277592
8,---,PRESENCE/ABSENCE,BPEF,1,PASS,32778,FOUNTAIN CREEK #2,12-Jul-05,BLW Diversion Dam In Clear Spring Ranch Park,5455.000000000000000,13,527039.000000000000000,4277470.000000000000000,Arkansas,80,22.75,AR0319,,2003.000000000000000,WHS,E1,E1,E1,11,Non-USGS,527039_12-Jul-2005,11796,131.034687350543663,527087,4277592
9,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #2,12-Jul-05,BLW Diversion Dam In Clear Spring Ranch Park,5455.000000000000000,13,527039.000000000000000,4277470.000000000000000,Arkansas,80,22.75,AR0319,,2003.000000000000000,STR,E1,E1,E1,2,Non-USGS,527039_12-Jul-2005,11796,131.034687350543663,527087,4277592
10,---,PRESENCE/ABSENCE,BPEF,1,PASS,32778,FOUNTAIN CREEK #2,12-Jul-05,BLW Diversion Dam In Clear Spring Ranch Park,5455.000000000000000,13,527039.000000000000000,4277470.000000000000000,Arkansas,80,22.75,AR0319,,2003.000000000000000,GSD,E1,E1,E1,1,Non-USGS,527039_12-Jul-2005,11796,131.034687350543663,527087,4277592
11,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #2,12-Jul-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,370,72.5,AR1834,---,1207.000000000000000,FHC,E1,E1,E1,24,Non-USGS,528465_12-Jul-2005,12534,34.654888901533134,528487,4273192
12,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #2,12-Jul-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,370,72.5,AR1834,---,1207.000000000000000,WHS,E1,E1,E1,9,Non-USGS,528465_12-Jul-2005,12534,34.654888901533134,528487,4273192
13,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #2,12-Jul-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,370,72.5,AR1834,---,1207.000000000000000,RDS,E1,E1,E1,3,Non-USGS,528465_12-Jul-2005,12534,34.654888901533134,528487,4273192
14,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #2,12-Jul-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,370,72.5,AR1834,---,1207.000000000000000,SAH,E1,E1,E1,2,Non-USGS,528465_12-Jul-2005,12534,34.654888901533134,528487,4273192
15,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #2,12-Jul-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,370,72.5,AR1834,---,1207.000000000000000,LGS,E1,E1,E1,1,Non-USGS,528465_12-Jul-2005,12534,34.654888901533134,528487,4273192
16,---,PRESENCE/ABSENCE,BPEF,1,PASS,32778,FOUNTAIN CREEK #2,12-Jul-05,700 M ABV Old Pueblo Rd,5362.000000000000000,13,528465.000000000000000,4273165.000000000000000,Arkansas,370,72.5,AR1834,---,1207.000000000000000,CRC,E1,E1,E1,1,Non-USGS,528465_12-Jul-2005,12534,34.654888901533134,528487,4273192
17,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,NO-NAME STREAM - MILITARY,12-Jul-05,ABV Fountain Creek BLW Bandley Dr,5521.000000000000000,13,524978.000000000000000,4281286.000000000000000,Arkansas,330,4,AR0135,---,876.000000000000000,FMW,E1,E1,E1,1,Non-USGS,524978_12-Jul-2005,10651,10.558091149499255,524987,4281292
18,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,NO-NAME STREAM - MILITARY,12-Jul-05,ABV Fountain Creek BLW Bandley Dr,5521.000000000000000,13,524978.000000000000000,4281286.000000000000000,Arkansas,330,4,AR0135,---,876.000000000000000,STR,E1,E1,E1,1,Non-USGS,524978_12-Jul-2005,10651,10.558091149499255,524987,4281292
19,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,UNMANAGED STM AR MJ DRAIN,12-Jul-05,Clover Ditch - BLW Eastmeadow Dr,5863.000000000000000,13,517418.000000000000000,4291514.000000000000000,Arkansas,278,6,AR1876,---,4481.000000000000000,LND,E1,E1,E1,1,Non-USGS,517418_12-Jul-2005,8566,38.268145964927818,517387,4291492
20,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,UNMANAGED STM AR MJ DRAIN,12-Jul-05,Clover Ditch - ABV I-25,5793.000000000000000,13,518794.000000000000000,4291832.000000000000000,Arkansas,692,3.94,AR1877,---,2004.000000000000000,LND,E1,E1,E1,37,Non-USGS,518794_12-Jul-2005,8526,40.605029350704456,518787,4291792
21,---,PRESENCE/ABSENCE,BPEF,1,PASS,33990,UNMANAGED STM AR MJ DRAIN,12-Jul-05,Clover Ditch - ABV I-25,5793.000000000000000,13,518794.000000000000000,4291832.000000000000000,Arkansas,692,3.94,AR1877,---,2004.000000000000000,FMW,E1,E1,E1,13,Non-USGS,518794_12-Jul-2005,8526,40.605029350704456,518787,4291792
22,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,UNMANAGED STM AR MJ DRAIN,12-Jul-05,Clover Ditch - ABV I-25,5793.000000000000000,13,518794.000000000000000,4291832.000000000000000,Arkansas,692,3.94,AR1877,---,2004.000000000000000,WHS,E1,E1,E1,1,Non-USGS,518794_12-Jul-2005,8526,40.605029350704456,518787,4291792
23,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,SPRING CREEK,15-Jul-05,175 M ABV E Pikes Peak Ave,6041.000000000000000,13,520562.000000000000000,4298304.000000000000000,Arkansas,220,13.9,AR1898,---,2006.000000000000000,---,---,E1,E1,---,Non-USGS,520562_15-Jul-2005,7440,27.377763134006091,520587,4298292
24,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,SPRING CREEK,15-Jul-05,300 M BLW Airport Rd,5978.000000000000000,13,520686.000000000000000,4297149.000000000000000,Arkansas,66,26.2,AR1909,---,2847.000000000000000,---,---,E1,E1,---,Non-USGS,520686_15-Jul-2005,7692,43.072234060645513,520687,4297192
25,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,26-Jul-05,BLW W Monument Creek,6350.000000000000000,13,514352.000000000000000,4312108.000000000000000,Arkansas,243,11.2,AR0380,---,24992.000000000000000,CRC,E1,E1,E1,121,Non-USGS,514352_26-Jul-2005,3793,38.128901467504683,514387,4312092
26,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,26-Jul-05,BLW W Monument Creek,6350.000000000000000,13,514352.000000000000000,4312108.000000000000000,Arkansas,243,11.2,AR0380,---,24992.000000000000000,LND,E1,E1,E1,86,Non-USGS,514352_26-Jul-2005,3793,38.128901467504683,514387,4312092
27,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,26-Jul-05,BLW W Monument Creek,6350.000000000000000,13,514352.000000000000000,4312108.000000000000000,Arkansas,243,11.2,AR0380,---,24992.000000000000000,LMB,E1,E1,E1,24,Non-USGS,514352_26-Jul-2005,3793,38.128901467504683,514387,4312092
28,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,26-Jul-05,BLW W Monument Creek,6350.000000000000000,13,514352.000000000000000,4312108.000000000000000,Arkansas,243,11.2,AR0380,---,24992.000000000000000,LGS,E1,E1,E1,24,Non-USGS,514352_26-Jul-2005,3793,38.128901467504683,514387,4312092
29,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,26-Jul-05,BLW W Monument Creek,6350.000000000000000,13,514352.000000000000000,4312108.000000000000000,Arkansas,243,11.2,AR0380,---,24992.000000000000000,WHS,E1,E1,E1,17,Non-USGS,514352_26-Jul-2005,3793,38.128901467504683,514387,4312092
30,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,26-Jul-05,BLW W Monument Creek,6350.000000000000000,13,514352.000000000000000,4312108.000000000000000,Arkansas,243,11.2,AR0380,---,24992.000000000000000,FMW,E1,E1,E1,5,Non-USGS,514352_26-Jul-2005,3793,38.128901467504683,514387,4312092
31,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,MONUMENT CREEK #2,26-Jul-05,BLW W Monument Creek,6350.000000000000000,13,514352.000000000000000,4312108.000000000000000,Arkansas,243,11.2,AR0380,---,24992.000000000000000,BRK,E1,E1,E1,2,Non-USGS,514352_26-Jul-2005,3793,38.128901467504683,514387,4312092
32,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #4,13-Sep-05,Between 8th St & HWY 24,5962.000000000000000,13,513954.000000000000000,4297859.000000000000000,Arkansas,492,15.1,AR0386,---,411.000000000000000,LND,E1,E1,E1,12,Non-USGS,513954_13-Sep-2005,7522,46.463567224170490,513987,4297892
33,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #4,13-Sep-05,Between 8th St & HWY 24,5962.000000000000000,13,513954.000000000000000,4297859.000000000000000,Arkansas,492,15.1,AR0386,---,411.000000000000000,WHS,E1,E1,E1,7,Non-USGS,513954_13-Sep-2005,7522,46.463567224170490,513987,4297892
34,---,PRESENCE/ABSENCE,BPEF,1,PASS,00:00.0,FOUNTAIN CREEK #4,13-Sep-05,Between 8th St & HWY 24,5962.000000000000000,13,513954.000000000000000,4297859.000000000000000,Arkansas,492,15.1,AR0386,---,411.000000000000000,LOC,E1,E1,E1,1,Non-USGS,513954_13-Sep-2005,7522,46.463567224170490,513987,4297892
