SurveyPurpose,Protocol,WaterID,WaterName,SampleDate,Location,Elevation,UTMZone,UTMX,UTMY,INCLUDE,KMB COMMENTS,NewUTMX,NewUTMY,Basin,StationLength,AvgWidth,StationCode,SiteType,SurveyID,Comment,Narrative,USGS
NULL,PRESENCE/ABSENCE,28966,ARKANSAS R #2A,2/15/05,60 M N HWY 50 Bridge N Of Las Animas,3889,13,655995,4216398,,,655995,4216398,Arkansas,690.6,92.5,AR0209,NULL,2281,NULL,05-AQ458 LFL# AR05-01 SER Sample Number in related SampleF records MARK column - 702.00205,NO
NULL,PRESENCE/ABSENCE,28966,ARKANSAS R #2A,2/16/05,270 M South Of Old Fort Bent,3994,13,637738,4211206,,,637738,4211201,Arkansas,780.8,105,AR1814,NULL,1347,changed watercode to UNMAN SP,05-AQ458 LFL# AR05-03,NO
NULL,PRESENCE/ABSENCE,28966,ARKANSAS R #2A,2/16/05,4.3 Km BLW HWY 266 Bridge,4117,13,617287,4211700,,,617287,4211704,Arkansas,728.4,210.3,AR1813,NULL,1767,NULL,05-AQ458 LFL# AR05-02 SER Sample Number in related SampleF records MARK column - 3715.00105,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,28966,ARKANSAS R #2A,2/16/05,Top Of Horseshoe E Of Old Fort Bent,3986,13,638363,4212419,,,638343,4212461,Arkansas,780.8,105,AR0210,NULL,26440,3711.00105,SampleF records have SER sample number in Mark column - 3711.00105,NO
NULL,PRESENCE/ABSENCE,28966,ARKANSAS R #2A,2/17/05,ABV Purgatoire River,3861,13,659857,4214692,,,659857,4214692,Arkansas,449.5,89.2,AR1816,NULL,1328,NULL,05-AQ458 LFL# AR05-05 SER Sample Number in related SampleF records MARK column - 3716.00105,NO
NULL,PRESENCE/ABSENCE,31473,RULE CREEK,2/17/05,ABV HWY 101,4106,13,659983,4187305,,,659971,4187304,Arkansas,1168,20.3,AR0261,NULL,1999,NULL,05-AQ458 LFL# AR05-04 SER Sample Number in related SampleF records MARK column - 3724.00105,NO
NULL,PRESENCE/ABSENCE,28966,ARKANSAS R #2A,2/18/05,Abv & BLW Seeley St Bridge Abv La Junta WWTP  & Guage,4047,13S,628829,4205857,,,628833,4205860,Arkansas,948.2,96.8,AR0211,NULL,1527,NULL,05-AQ458 LFL# AR05-06 SER Sample Number in related SampleF records MARK column - 704.00205,NO
NULL,PRESENCE/ABSENCE,28978,ARKANSAS R #3A,2/22/05,ABV HWY 50,4490,13,557422,4233167,,,557383,4233192,Arkansas,961.3,75.8,AR0463,NULL,237,NULL,05-AQ458 LFL# AR05-07 SER Sample Number in related SampleF records MARK column - 3714.00105,NO
NULL,PRESENCE/ABSENCE,28978,ARKANSAS R #3A,2/23/05,ABV S Higgins Ave,4442,13,564656,4231980,,,564656,4231981,Arkansas,584,65.3,AR0460,NULL,1134,NULL,05-AQ458 LFL# AR05-09 SER Sample Number in related SampleF records MARK column - 3615.00305,NO
NULL,PRESENCE/ABSENCE,28968,ARKANSAS R #2B,2/23/05,2.1 Km ABV Kramer Creek,4378,13,573951,4227332,,,573942,4227338,Arkansas,607,21.7,AR1818,NULL,1488,NULL,05-AQ458 LFL# AR05-08 SER Sample Number in related SampleF records MARK column - 3712.00105,NO
NULL,PRESENCE/ABSENCE,28978,ARKANSAS R #3A,2/24/05,3 MI ABV Baxter Rd 0.25 Mi S End Of 27th Ln,4594,13,540994,4235589,,,540995,4235586,Arkansas,485.6,209.3,AR1812,NULL,3442,NULL,05-AQ458 LFL# AR05-11 SER Sample Number in related SampleF records MARK column - 3713.00105,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,28978,ARKANSAS R #3A,2/24/05,ABV Nyberg Rd (#3a),4518,13,552564,4233555,,,552562,4233550,Arkansas,626.6,133.2,AR0451,NULL,24754,3625.00205,SampleF records have SER sample number in Mark column - 3625.00205,NO
