SurveyPurpose,Protocol,Gear,TotalEffort,EffortMetric,WaterID,WaterName,SampleDate,Location,Elevation,UTMZone,UTMX,UTMY,Basin,StationLength,AvgWidth,StationCode,SiteType,SurveyID,SpeciesCode,Status,NewStatus,sameStatus,Catch,Source
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,15-Feb-2005,60 M N HWY 50 Bridge N Of Las Animas,3889,13,655995,4216398,Arkansas,690.6,92.5,AR0209,---,2281,SAH,1,NA,NA,821,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,15-Feb-2005,60 M N HWY 50 Bridge N Of Las Animas,3889,13,655995,4216398,Arkansas,690.6,92.5,AR0209,---,2281,FMW,1,NA,NA,11,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,15-Feb-2005,60 M N HWY 50 Bridge N Of Las Animas,3889,13,655995,4216398,Arkansas,690.6,92.5,AR0209,---,2281,RDS,1,NA,NA,8,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,15-Feb-2005,60 M N HWY 50 Bridge N Of Las Animas,3889,13,655995,4216398,Arkansas,690.6,92.5,AR0209,---,2281,CCF,1,NA,NA,7,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,15-Feb-2005,60 M N HWY 50 Bridge N Of Las Animas,3889,13,655995,4216398,Arkansas,690.6,92.5,AR0209,---,2281,SMM,1,NA,NA,4,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,15-Feb-2005,60 M N HWY 50 Bridge N Of Las Animas,3889,13,655995,4216398,Arkansas,690.6,92.5,AR0209,---,2281,LND,1,NA,NA,3,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,15-Feb-2005,60 M N HWY 50 Bridge N Of Las Animas,3889,13,655995,4216398,Arkansas,690.6,92.5,AR0209,---,2281,CPP,1,NA,NA,1,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,4.3 Km BLW HWY 266 Bridge,4117,13,617287,4211700,Arkansas,728.4,210.3,AR1813,---,1767,RDS,1,NA,NA,15,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,4.3 Km BLW HWY 266 Bridge,4117,13,617287,4211700,Arkansas,728.4,210.3,AR1813,---,1767,SAH,1,NA,NA,5,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,270 M South Of Old Fort Bent,3994,13,637738,4211206,Arkansas,780.8,105,AR1814,---,1347,SAH,1,NA,NA,173,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,270 M South Of Old Fort Bent,3994,13,637738,4211206,Arkansas,780.8,105,AR1814,---,1347,RDS,1,NA,NA,116,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,270 M South Of Old Fort Bent,3994,13,637738,4211206,Arkansas,780.8,105,AR1814,---,1347,FMW,1,NA,NA,76,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,270 M South Of Old Fort Bent,3994,13,637738,4211206,Arkansas,780.8,105,AR1814,---,1347,SMM,1,NA,NA,3,Non-USGS
---,PRESENCE/ABSENCE,Not Listed,1,PASS,00:00.0,ARKANSAS R #2A,16-Feb-2005,270 M South Of Old Fort Bent,3994,13,637738,4211206,Arkansas,780.8,105,AR1814,---,1347,FHC,1,NA,NA,2,Non-USGS
