"","SurveyPurpose","Protocol","Gear","TotalEffort","EffortMetric","WaterID","WaterName","SampleDate","Location","Elevation","UTMZone","UTMX","UTMY","Basin","StationLength","AvgWidth","StationCode","SiteType","SurveyID","SpeciesCode","Status","NewStatus","sameStatus","Catch","Source","mySurveyID"
"1","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"FHC","E1","E1","E1","693","Non-USGS","527039_12-Jul-2005"
"2","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"LND","E1","E1","E1","62","Non-USGS","527039_12-Jul-2005"
"3","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"LMB","E1","E1","E1","29","Non-USGS","527039_12-Jul-2005"
"4","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"LGS","E1","E1","E1","29","Non-USGS","527039_12-Jul-2005"
"5","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"SAH","E1","E1","E1","25","Non-USGS","527039_12-Jul-2005"
"6","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"FMW","E1","E1","E1","23","Non-USGS","527039_12-Jul-2005"
"7","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"RDS","E1","E1","E1","17","Non-USGS","527039_12-Jul-2005"
"8","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"WHS","E1","E1","E1","11","Non-USGS","527039_12-Jul-2005"
"9","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"STR","E1","E1","E1","2","Non-USGS","527039_12-Jul-2005"
"10","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"GSD","E1","E1","E1","1","Non-USGS","527039_12-Jul-2005"
"11","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"FHC","E1","E1","E1","24","Non-USGS","528465_12-Jul-2005"
"12","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"WHS","E1","E1","E1","9","Non-USGS","528465_12-Jul-2005"
"13","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"RDS","E1","E1","E1","3","Non-USGS","528465_12-Jul-2005"
"14","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"SAH","E1","E1","E1","2","Non-USGS","528465_12-Jul-2005"
"15","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"LGS","E1","E1","E1","1","Non-USGS","528465_12-Jul-2005"
"16","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","700 M ABV Old Pueblo Rd",5362,"13",528465,4273165,"Arkansas","370","72.5","AR1834","---",1207,"CRC","E1","E1","E1","1","Non-USGS","528465_12-Jul-2005"
"17","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","NO-NAME STREAM - MILITARY","12-Jul-05","ABV Fountain Creek BLW Bandley Dr",5521,"13",524978,4281286,"Arkansas","330","4","AR0135","---",876,"FMW","E1","E1","E1","1","Non-USGS","524978_12-Jul-2005"
"18","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","NO-NAME STREAM - MILITARY","12-Jul-05","ABV Fountain Creek BLW Bandley Dr",5521,"13",524978,4281286,"Arkansas","330","4","AR0135","---",876,"STR","E1","E1","E1","1","Non-USGS","524978_12-Jul-2005"
"19","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","UNMANAGED STM AR MJ DRAIN","12-Jul-05","Clover Ditch - BLW Eastmeadow Dr",5863,"13",517418,4291514,"Arkansas","278","6","AR1876","---",4481,"LND","E1","E1","E1","1","Non-USGS","517418_12-Jul-2005"
"20","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","UNMANAGED STM AR MJ DRAIN","12-Jul-05","Clover Ditch - ABV I-25",5793,"13",518794,4291832,"Arkansas","692","3.94","AR1877","---",2004,"LND","E1","E1","E1","37","Non-USGS","518794_12-Jul-2005"
"21","---","PRESENCE/ABSENCE","BPEF","1","PASS","33990","UNMANAGED STM AR MJ DRAIN","12-Jul-05","Clover Ditch - ABV I-25",5793,"13",518794,4291832,"Arkansas","692","3.94","AR1877","---",2004,"FMW","E1","E1","E1","13","Non-USGS","518794_12-Jul-2005"
"22","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","UNMANAGED STM AR MJ DRAIN","12-Jul-05","Clover Ditch - ABV I-25",5793,"13",518794,4291832,"Arkansas","692","3.94","AR1877","---",2004,"WHS","E1","E1","E1","1","Non-USGS","518794_12-Jul-2005"
"23","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","SPRING CREEK","15-Jul-05","175 M ABV E Pikes Peak Ave",6041,"13",520562,4298304,"Arkansas","220","13.9","AR1898","---",2006,"---","---","E1","E1","---","Non-USGS","520562_15-Jul-2005"
"24","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","SPRING CREEK","15-Jul-05","300 M BLW Airport Rd",5978,"13",520686,4297149,"Arkansas","66","26.2","AR1909","---",2847,"---","---","E1","E1","---","Non-USGS","520686_15-Jul-2005"
"25","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"CRC","E1","E1","E1","121","Non-USGS","514352_26-Jul-2005"
"26","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"LND","E1","E1","E1","86","Non-USGS","514352_26-Jul-2005"
"27","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"LMB","E1","E1","E1","24","Non-USGS","514352_26-Jul-2005"
"28","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"LGS","E1","E1","E1","24","Non-USGS","514352_26-Jul-2005"
"29","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"WHS","E1","E1","E1","17","Non-USGS","514352_26-Jul-2005"
"30","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"FMW","E1","E1","E1","5","Non-USGS","514352_26-Jul-2005"
"31","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","MONUMENT CREEK #2","26-Jul-05","BLW W Monument Creek",6350,"13",514352,4312108,"Arkansas","243","11.2","AR0380","---",24992,"BRK","E1","E1","E1","2","Non-USGS","514352_26-Jul-2005"
"32","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #4","13-Sep-05","Between 8th St & HWY 24",5962,"13",513954,4297859,"Arkansas","492","15.1","AR0386","---",411,"LND","E1","E1","E1","12","Non-USGS","513954_13-Sep-2005"
"33","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #4","13-Sep-05","Between 8th St & HWY 24",5962,"13",513954,4297859,"Arkansas","492","15.1","AR0386","---",411,"WHS","E1","E1","E1","7","Non-USGS","513954_13-Sep-2005"
