"","SurveyPurpose","Protocol","Gear","TotalEffort","EffortMetric","WaterID","WaterName","SampleDate","Location","Elevation","UTMZone","UTMX.x","UTMY.x","Basin","StationLength","AvgWidth","StationCode","SiteType","SurveyID","SpeciesCode","Status","NewStatus","sameStatus","Catch","Source","mySurveyID","reachid","pointid","grid_code","elevation","gradient","cropsCount","dvlpdCount","wtlndsCoun","UTMX.y","UTMY.y","slope100m","Z","OBJECTID_1","Permanent_","GNIS_ID","GNIS_Name","ReachCode","WBArea_Per","FType","FCode","OBJECTID","FEATURE","CODE","NAME1","STRAHLER","Line_Sourc","StreamType","FountainCr","ReservoirL","RCA_ID","Shape_Leng","StreamSize","Percent","Degrees","MAIN","PURG","geometry"
"1","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"FHC","E1","E1","E1","693","Non-USGS","527039_12-Jul-2005",1308,11796,1308,1660,0.226480275393,50,17,77,527087,4277592,0,1660,1308,NA,NA,NA,NA,NA,0,0,24327,"Perennial Stream",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",1223,1443.83064923,3,23.7562487112,0.233238950461,"NO","NO",c(527087, 4277592)
"2","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"LND","E1","E1","E1","62","Non-USGS","527039_12-Jul-2005",1308,11796,1308,1660,0.226480275393,50,17,77,527087,4277592,0,1660,1308,NA,NA,NA,NA,NA,0,0,24327,"Perennial Stream",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",1223,1443.83064923,3,23.7562487112,0.233238950461,"NO","NO",c(527087, 4277592)
"3","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"LMB","E1","E1","E1","29","Non-USGS","527039_12-Jul-2005",1308,11796,1308,1660,0.226480275393,50,17,77,527087,4277592,0,1660,1308,NA,NA,NA,NA,NA,0,0,24327,"Perennial Stream",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",1223,1443.83064923,3,23.7562487112,0.233238950461,"NO","NO",c(527087, 4277592)
"4","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"LGS","E1","E1","E1","29","Non-USGS","527039_12-Jul-2005",1308,11796,1308,1660,0.226480275393,50,17,77,527087,4277592,0,1660,1308,NA,NA,NA,NA,NA,0,0,24327,"Perennial Stream",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",1223,1443.83064923,3,23.7562487112,0.233238950461,"NO","NO",c(527087, 4277592)
"5","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"SAH","E1","E1","E1","25","Non-USGS","527039_12-Jul-2005",1308,11796,1308,1660,0.226480275393,50,17,77,527087,4277592,0,1660,1308,NA,NA,NA,NA,NA,0,0,24327,"Perennial Stream",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",1223,1443.83064923,3,23.7562487112,0.233238950461,"NO","NO",c(527087, 4277592)
"6","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"FMW","E1","E1","E1","23","Non-USGS","527039_12-Jul-2005",1308,11796,1308,1660,0.226480275393,50,17,77,527087,4277592,0,1660,1308,NA,NA,NA,NA,NA,0,0,24327,"Perennial Stream",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",1223,1443.83064923,3,23.7562487112,0.233238950461,"NO","NO",c(527087, 4277592)
"7","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"RDS","E1","E1","E1","17","Non-USGS","527039_12-Jul-2005",1308,11796,1308,1660,0.226480275393,50,17,77,527087,4277592,0,1660,1308,NA,NA,NA,NA,NA,0,0,24327,"Perennial Stream",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",1223,1443.83064923,3,23.7562487112,0.233238950461,"NO","NO",c(527087, 4277592)
"8","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"WHS","E1","E1","E1","11","Non-USGS","527039_12-Jul-2005",1308,11796,1308,1660,0.226480275393,50,17,77,527087,4277592,0,1660,1308,NA,NA,NA,NA,NA,0,0,24327,"Perennial Stream",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",1223,1443.83064923,3,23.7562487112,0.233238950461,"NO","NO",c(527087, 4277592)
"9","---","PRESENCE/ABSENCE","BPEF","1","PASS","00:00.0","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"STR","E1","E1","E1","2","Non-USGS","527039_12-Jul-2005",1308,11796,1308,1660,0.226480275393,50,17,77,527087,4277592,0,1660,1308,NA,NA,NA,NA,NA,0,0,24327,"Perennial Stream",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",1223,1443.83064923,3,23.7562487112,0.233238950461,"NO","NO",c(527087, 4277592)
"10","---","PRESENCE/ABSENCE","BPEF","1","PASS","32778","FOUNTAIN CREEK #2","12-Jul-05","BLW Diversion Dam In Clear Spring Ranch Park",5455,"13",527039,4277470,"Arkansas","80","22.75","AR0319","",2003,"GSD","E1","E1","E1","1","Non-USGS","527039_12-Jul-2005",1308,11796,1308,1660,0.226480275393,50,17,77,527087,4277592,0,1660,1308,NA,NA,NA,NA,NA,0,0,24327,"Perennial Stream",32778,"Fountain Creek",6,"ua_annotated","CONNECT","YES","between",1223,1443.83064923,3,23.7562487112,0.233238950461,"NO","NO",c(527087, 4277592)
