"","SurveyPurp","Protocol","Gear","TotalEffor","EffortMetr","WaterID","WaterName","SampleDate","Location","Elevation","UTMZone","UTMX","UTMY","Basin","StationLen","AvgWidth","StationCod","SiteType","SurveyID","SpeciesCod","Status","NewStatus","sameStatus","Catch","Source","mySurveyID"
"1","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"RDS","E1","E1","E1","3","Non-USGS","644657_19-Oct-2009"
"2","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"SNF","E1","E1","E1","77","Non-USGS","644657_19-Oct-2009"
"3","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"OSF","E1","E1","E1","53","Non-USGS","644657_19-Oct-2009"
"4","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"LMB","E1","E1","E1","46","Non-USGS","644657_19-Oct-2009"
"5","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"BBH","E1","E1","E1","22","Non-USGS","644657_19-Oct-2009"
"6","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"BGL","E1","E1","E1","8","Non-USGS","644657_19-Oct-2009"
"7","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"SNF","E3","E3","E2","100","Non-USGS","644657_19-Oct-2009"
"8","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"LMB","E3","E3","E2","34","Non-USGS","644657_19-Oct-2009"
"9","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"OSF","E3","E3","E2","11","Non-USGS","644657_19-Oct-2009"
"10","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"RDS","E3","E3","E2","10","Non-USGS","644657_19-Oct-2009"
"11","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"BBH","E3","E3","E2","8","Non-USGS","644657_19-Oct-2009"
"12","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"CPP","E3","E3","E2","4","Non-USGS","644657_19-Oct-2009"
"13","Multi-purpose","FULL HABITAT","BPEF & SEINE","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"BGL","E3","E3","E2","3","Non-USGS","644657_19-Oct-2009"
"14","Multi-purpose","FULL HABITAT","Seine","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"LMB","S2","S2","S1","43","Non-USGS","644657_19-Oct-2009"
"15","Multi-purpose","FULL HABITAT","Seine","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"RDS","S2","S2","S1","23","Non-USGS","644657_19-Oct-2009"
"16","Multi-purpose","FULL HABITAT","Seine","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"OSF","S2","S2","S1","7","Non-USGS","644657_19-Oct-2009"
"17","Multi-purpose","FULL HABITAT","Seine","---",NA,"00:00.0","ADOBE CREEK","19-Oct-2009","NE corner of Ptolemy property (SER #29)",4260,"13S",644687,4250292,"Arkansas","420","23.38","AR2919","Random",44148,"SNF","S2","S2","S1","6","Non-USGS","644657_19-Oct-2009"
